PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Domantas Sabonis,SAC,47,4.1,22.4,1.27,5.2,2.2,3.2,68.9,68.9,16.1,9.3,15.5,3.6,64.2,40.7
Jarrett Allen,CLE,42,4.1,31,1.39,5.8,2.5,3.5,70.7,70.7,12.6,4.6,12.1,1.7,70.1,63.3
Rudy Gobert,MIN,49,3.1,26,1.26,3.9,1.6,2.4,67.8,67.8,18.4,6.6,17.8,2.6,66.4,39.3
Giannis Antetokounmpo,MIL,47,2.6,9.3,1.56,4,1.7,2.2,79.4,79.4,18.2,5,17.4,7.4,77.7,90.4
Moritz Wagner,ORL,48,2.4,24.6,1.51,3.6,1.6,2,78.1,78.1,16.7,7.9,16.7,8.8,73.7,84.8
Walker Kessler,UTA,43,2.9,39.4,1.34,3.9,1.7,2.4,72.8,72.8,16.7,5.6,15.9,4,69.8,53.7
Anthony Davis,LAL,46,2.5,11.6,1.39,3.5,1.5,2.1,70.5,70.5,15.4,6,14.5,2.6,70.1,61.7
Ivica Zubac,LAC,39,2.9,28.3,1.4,4.1,1.8,2.5,72.7,72.7,12.2,2.6,11.3,0.9,71.3,65.5
Daniel Gafford,WAS,44,2.6,29.5,1.4,3.6,1.5,2.1,71,71,14.9,5.3,14.9,1.8,71.1,66.7
Nikola Jokic,DEN,49,2.4,10.6,1.34,3.3,1.4,2.1,68.3,68.3,16,5.9,15.1,6.7,65.5,54.4
Aaron Gordon,DEN,45,2.2,17.2,1.53,3.4,1.5,1.9,77.6,77.6,20.2,3,20.2,9.1,75.8,88.5
Clint Capela,ATL,47,2.6,24.7,1.2,3.1,1.4,2.1,65.7,65.7,15.6,6.6,15.6,3.3,62.3,27.4
Evan Mobley,CLE,24,4,26.5,1.52,6,2.7,3.4,78,78,12.6,7.4,12.6,6.3,73.7,85.2
Onyeka Okongwu,ATL,48,2,25.3,1.49,3,1.3,1.8,69.8,69.8,17.5,1,17.5,7.2,72.2,81.5
Jusuf Nurkic,PHX,46,2.3,18.3,1.34,3.1,1.2,1.8,67.9,67.9,17.9,6.6,17,3.8,67.9,53.3
Jalen Duren,DET,34,2.9,23.5,1.41,4,1.8,2.5,73.8,73.8,11.3,7.2,10.3,5.2,69.1,69.3
Dereck Lively II,DAL,36,2.4,31.5,1.54,3.6,1.7,2.1,85.1,85.1,9.4,7.1,7.1,3.5,77.6,88.9
Jakob Poeltl,TOR,38,2.8,30.1,1.21,3.4,1.6,2.4,65.6,65.6,11.1,8.3,11.1,2.8,62,30.4
Bam Adebayo,MIA,40,2.9,13.8,1.11,3.2,1.4,2.6,53.9,53.9,9.6,3.5,8.8,2.6,55.3,19.3
Victor Wembanyama,SAS,44,2.1,9.8,1.34,2.8,1.2,1.7,69.9,69.9,17.2,7.5,15.1,3.2,67.7,54.1
Nic Claxton,BKN,38,2.6,24.3,1.22,3.2,1.5,2.3,64.8,64.8,10,6,9,4,60,30.7
Myles Turner,IND,47,2,13.2,1.29,2.6,1,1.5,62.5,62.5,20.4,5.4,20.4,3.2,65.6,45
Brook Lopez,MIL,47,1.7,14.1,1.51,2.5,1.1,1.5,76.1,76.1,10.1,3.8,8.9,3.8,73.4,84.4
Lauri Markkanen,UTA,41,1.9,9.6,1.52,2.9,1.2,1.5,76.2,76.2,16.9,3.9,16.9,2.6,76.6,85.9
Jonas Valanciunas,NOP,48,1.8,14.4,1.35,2.4,1,1.5,67.1,67.1,17.4,4.7,17.4,3.5,68.6,55.6
Kevon Looney,GSW,46,1.9,38.4,1.33,2.5,1,1.5,70.1,70.1,17.4,8.1,17.4,3.5,68.6,50
Alperen Sengun,HOU,49,1.9,9.2,1.16,2.2,1,1.6,60,60,12.8,6.4,12.8,4.3,58.5,22.6
Trayce Jackson-Davis,GSW,34,2.2,39,1.4,3.1,1.3,1.8,72.6,72.6,22.4,3.9,22.4,7.9,71.1,63.7
Obi Toppin,IND,50,1.3,13.8,1.67,2.1,0.9,1.1,83.9,83.9,12.7,0,12.7,1.6,85.7,95.5
Drew Eubanks,PHX,43,1.7,33.2,1.41,2.4,1,1.4,75,75,12.2,8.1,12.2,1.4,71.6,67.7
Nick Richards,CHA,39,1.8,23.1,1.37,2.5,0.9,1.2,72.9,72.9,25.4,8.5,22.5,1.4,70.4,59.3
Isaiah Hartenstein,NYK,47,1.7,25.3,1.24,2.1,0.8,1.3,61.9,61.9,20.5,3.8,20.5,5.1,64.1,35.6
Nikola Vucevic,CHI,45,1.7,9.6,1.25,2.1,0.9,1.4,63.1,63.1,10.5,6.6,10.5,2.6,61.8,38
Chet Holmgren,OKC,50,1.3,8.7,1.45,1.9,0.8,1.1,77.4,77.4,13.8,6.2,13.8,1.5,73.8,74.4
Goga Bitadze,ORL,41,1.6,27.5,1.41,2.3,1,1.4,70.2,70.2,18.2,3,15.2,7.6,71.2,68.5
Zion Williamson,NOP,38,1.7,8.2,1.42,2.4,1.1,1.4,75.5,75.5,15.6,7.8,14.1,6.3,71.9,71.1
Andre Drummond,CHI,50,1.4,17.8,1.27,1.8,0.7,1.1,63,63,25.7,2.9,25.7,5.7,65.7,41.1
Jimmy Butler,MIA,35,1.7,9.1,1.48,2.5,1,1.3,76.1,76.1,22,3.4,22,3.4,78,80.3
Pascal Siakam,TOR,39,1.5,7.4,1.48,2.2,0.9,1.2,70.8,70.8,25.4,1.7,25.4,8.5,74.6,80.3
Kristaps Porzingis,BOS,36,1.6,9.7,1.47,2.4,0.9,1.3,73.3,73.3,25.9,3.4,25.9,6.9,72.4,77.4
Isaiah Jackson,IND,38,1.6,27.1,1.44,2.2,0.9,1.2,76.1,76.1,20.3,5.1,20.3,3.4,74.6,74.1
Jonathan Kuminga,GSW,45,1.6,11.5,1.17,1.9,0.8,1.2,63,63,16.7,11.1,15.3,2.8,59.7,23.1
Scottie Barnes,TOR,49,1.2,5.8,1.46,1.7,0.8,1,75.5,75.5,8.8,5.3,8.8,0,73.7,76.3
LeBron James,LAL,44,1.1,4.9,1.6,1.8,0.8,0.9,82.5,82.5,20,4,20,4,82,92.9
Andrew Wiggins,GSW,42,1.4,10.4,1.38,1.9,0.9,1.2,75.5,75.5,8.6,6.9,8.6,0,70.7,60.7
Franz Wagner,ORL,42,1.3,6.7,1.41,1.9,0.9,1.2,72,72,7.1,5.4,5.4,1.8,69.6,68.9
Isaiah Stewart,DET,35,1.6,14.7,1.39,2.3,1,1.3,76.1,76.1,12.3,8.8,12.3,1.8,70.2,62.2
Keegan Murray,SAC,43,1.2,8.6,1.45,1.8,0.7,1,70.5,70.5,18.9,1.9,18.9,3.8,73.6,74.8
Zach Collins,SAS,38,1.5,11.7,1.33,2,0.8,1.3,66.7,66.7,15.5,5.2,12.1,3.4,67.2,50.4
Jaime Jaquez Jr.,MIA,44,1.4,10.7,1.25,1.7,0.8,1.1,66,66,13.1,8.2,11.5,3.3,63.9,37
Deandre Ayton,POR,34,2.1,15.3,1.06,2.2,1,1.9,54,54,8.3,6.9,8.3,2.8,52.8,12.6
Michael Porter Jr.,DEN,51,1.1,7.9,1.28,1.5,0.6,1,62.3,62.3,12.1,3.4,12.1,6.9,62.1,42.8
Kevin Durant,PHX,42,1.1,4.3,1.62,1.7,0.7,0.9,81.1,81.1,20,0,20,2.2,84.4,93.3
Jeremy Sochan,SAS,50,1.2,8.8,1.26,1.5,0.7,1.1,62.3,62.3,8.6,1.7,6.9,1.7,63.8,39.6
Peyton Watson,DEN,49,1.2,17,1.26,1.5,0.7,1.1,63.5,63.5,7,1.8,7,0,64.9,40
Tobias Harris,PHI,44,1.1,6.6,1.47,1.6,0.6,0.9,71.8,71.8,17,4.3,17,4.3,72.3,78.5
Jalen Smith,IND,36,1.3,16.2,1.44,1.9,0.9,1.2,79.1,79.1,12.5,6.3,12.5,8.3,72.9,73.7
Mark Williams,CHA,20,2.5,24.6,1.41,3.5,1.4,2,69.2,69.2,22.4,2,22.4,4.1,69.4,68.1
Jalen Williams,OKC,44,1.1,6.8,1.38,1.6,0.7,0.9,72.5,72.5,16,6,16,2,72,61.1
Josh Giddey,OKC,49,1.1,8.7,1.23,1.4,0.6,1,60.8,60.8,8.9,3.6,8.9,3.6,60.7,34.1
Joel Embiid,PHI,34,1.7,5.4,1.21,2,0.7,1.2,54.8,54.8,24.6,7,21.1,5.3,59.6,29.7
Daniel Theis,LAC,36,1.7,27.5,1.13,1.9,0.9,1.5,59.3,59.3,6.6,4.9,6.6,0,59,19.6
Marvin Bagley III,DET,26,1.9,20.6,1.39,2.6,1,1.5,69.2,69.2,16.3,6.1,14.3,2,69.4,63
Devin Vassell,SAS,45,0.9,5.2,1.68,1.5,0.5,0.6,79.3,79.3,35,2.5,35,10,82.5,95.9
Jabari Walker,POR,46,1,12.3,1.4,1.4,0.6,0.9,68.3,68.3,17,6.4,17,10.6,66,67
Ausar Thompson,DET,49,1,10.5,1.35,1.3,0.6,0.8,73.2,73.2,6.3,10.4,6.3,2.1,66.7,56.7
Paolo Banchero,ORL,50,1.1,4.4,1.21,1.3,0.5,0.9,61.4,61.4,15.1,5.7,13.2,3.8,62.3,28.9
Jalen Johnson,ATL,35,1.3,8.7,1.38,1.8,0.7,1.1,68.4,68.4,13.3,2.2,13.3,0,68.9,60.2
Bennedict Mathurin,IND,48,0.9,6.6,1.38,1.3,0.5,0.8,66.7,66.7,17.8,4.4,15.6,2.2,68.9,60.2
Bobby Portis,MIL,49,1,8.3,1.29,1.3,0.6,0.8,65.9,65.9,12.5,2.1,12.5,0,66.7,45.9
P.J. Washington,CHA,42,1.1,8.3,1.29,1.5,0.7,0.9,74.4,74.4,12.5,12.5,12.5,6.3,64.6,45.9
Xavier Tillman,MEM,34,1.8,23.7,1,1.8,0.9,1.6,55.6,55.6,4.8,8.1,4.8,0,51.6,6.2
Karl-Anthony Towns,MIN,49,0.8,3.9,1.56,1.2,0.5,0.7,75,75,28.2,7.7,28.2,17.9,71.8,90.7
Larry Nance Jr.,NOP,31,1.3,26.1,1.49,2,0.8,1.1,73.5,73.5,17.1,4.9,12.2,4.9,73.2,81.9
Kelly Oubre Jr.,PHI,36,1.3,9.8,1.36,1.7,0.7,1.1,63.4,63.4,15.6,2.2,15.6,8.9,64.4,57
Jabari Smith Jr.,HOU,44,1.1,8.9,1.25,1.4,0.6,1,59.1,59.1,10.2,0,10.2,0,63.3,36.7
Max Strus,CLE,47,0.9,6.7,1.43,1.3,0.6,0.8,69.2,69.2,9.5,2.4,9.5,4.8,69,72.7
Russell Westbrook,LAC,48,0.9,7.2,1.29,1.2,0.6,0.9,65.9,65.9,6.7,4.4,6.7,2.2,64.4,44.4
Kawhi Leonard,LAC,45,0.8,3.8,1.68,1.3,0.4,0.6,76.9,76.9,29.4,2.9,23.5,8.8,79.4,96.3
Keldon Johnson,SAS,46,1,5.8,1.29,1.2,0.5,0.8,65.8,65.8,13.6,6.8,13.6,6.8,63.6,47
