,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG
1,BOS,50,38,12,2425,118.2,109,9.1
2,OKC,50,35,15,2420,117.7,109.2,8.5
3,LAC,48,33,15,2309,118,110.8,7.2
4,MIN,50,35,15,2410,112.4,105.9,6.5
5,CLE,47,31,16,2266,113.5,108,5.5
6,PHI,48,30,18,2314,116.7,111.4,5.3
7,NOP,49,28,21,2357,115.2,111,4.2
7,NYK,50,32,18,2400,114.8,110.6,4.2
9,MIL,50,33,17,2415,118.2,114.2,4
10,DEN,51,35,16,2448,115.7,112.3,3.4
11,PHX,50,29,21,2415,115.8,112.8,2.9
12,HOU,49,23,26,2377,110.8,109.6,1.2
12,ORL,50,27,23,2415,110.2,109,1.2
14,IND,51,28,23,2448,117.9,116.7,1.1
15,SAC,48,29,19,2329,114.2,114,0.2
16,GSW,46,21,25,2238,115.1,115,0.1
17,DAL,49,26,23,2352,115.2,115.5,-0.3
18,MIA,50,26,24,2405,111.1,111.7,-0.7
19,LAL,51,26,25,2468,111.7,112.5,-0.9
19,CHI,50,23,27,2430,111.3,112.2,-0.9
21,BKN,48,20,28,2319,113,114.2,-1.2
22,TOR,49,17,32,2372,112.5,114.7,-2.2
23,ATL,49,22,27,2372,115.2,117.8,-2.6
24,UTA,51,25,26,2473,113.2,115.9,-2.7
25,MEM,50,18,32,2410,104.6,111.2,-6.6
26,WAS,49,9,40,2352,109.4,117.5,-8.1
27,SAS,50,10,40,2410,107.4,116,-8.6
27,POR,50,15,35,2425,106.1,114.7,-8.6
29,DET,49,6,43,2362,109.1,118.4,-9.2
30,CHA,48,10,38,2314,107.6,118.9,-11.3
