PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Gary Trent Jr.,TOR,42,0.2,4.2,0,0,0,0.1,0,0,0,40,0,0,0,100
Bismack Biyombo,MEM,27,0.4,2.9,0.4,0.1,0,0.3,14.3,14.3,10,20,10,0,20,99.2
Nassir Little,PHX,23,0.7,12.4,0.29,0.2,0.1,0.6,14.3,17.9,0,17.6,0,0,11.8,99.6
Jarrett Allen,CLE,41,0.2,1.6,0.5,0.1,0,0.2,25,31.3,0,20,0,0,20,98
GG Jackson,MEM,16,0.6,10.6,0.6,0.4,0.2,0.6,30,30,0,0,0,0,30,91.7
Wesley Matthews,ATL,18,0.6,10.8,0.6,0.3,0.1,0.4,25,25,10,10,0,0,30,91.7
Isaiah Livers,DET,22,0.6,8.5,0.5,0.3,0.1,0.5,30,35,0,28.6,0,0,21.4,98
Trey Murphy III,NOP,23,0.5,6.9,0.58,0.3,0.1,0.5,27.3,31.8,0,8.3,0,0,25,92.6
De'Andre Hunter,ATL,26,0.5,5.1,0.61,0.3,0.1,0.4,27.3,31.8,7.7,7.7,7.7,0,30.8,89.4
Rui Hachimura,LAL,36,0.3,4.9,0.67,0.2,0.1,0.3,27.3,36.4,0,8.3,0,0,25,86.2
Joe Ingles,ORL,31,0.4,8.1,0.73,0.3,0.1,0.3,37.5,50,0,27.3,0,0,27.3,78.9
Keon Ellis,SAC,25,0.4,6.8,0.8,0.3,0.2,0.4,40,40,0,0,0,0,40,72.2
Duncan Robinson,MIA,45,0.4,7,0.45,0.2,0.1,0.4,23.5,26.5,0,15,0,0,20,98.8
Amen Thompson,HOU,29,0.6,10.1,0.5,0.3,0.1,0.6,23.5,26.5,0,5.6,0,0,22.2,98
Sam Merrill,CLE,28,0.6,10.8,0.53,0.3,0.1,0.4,25,25,11.8,17.6,5.9,0,29.4,96.1
Cody Martin,CHA,17,0.9,9.2,0.56,0.5,0.2,0.9,26.7,30,0,6.3,0,0,25,94.5
Josh Richardson,MIA,40,0.4,4.1,0.6,0.2,0.1,0.3,36.4,40.9,0,26.7,0,0,26.7,91.7
Luke Kennard,MEM,22,0.7,10.5,0.6,0.4,0.2,0.5,33.3,37.5,0,20,0,0,26.7,91.7
Xavier Tillman,MEM,31,0.4,4.2,0.69,0.3,0.1,0.3,22.2,22.2,23.1,7.7,23.1,0,38.5,82.6
Dante Exum,DAL,31,0.4,5.9,0.69,0.3,0.1,0.3,33.3,33.3,15.4,15.4,15.4,0,38.5,82.6
Andre Jackson Jr.,MIL,32,0.4,7,0.69,0.3,0.1,0.3,30,35,7.7,15.4,7.7,0,30.8,82.6
Lauri Markkanen,UTA,41,0.4,3.5,0.56,0.2,0.1,0.3,28.6,32.1,5.6,16.7,5.6,0,27.8,94.9
Aaron Wiggins,OKC,44,0.3,6.4,0.67,0.2,0.1,0.3,33.3,33.3,0,0,0,0,33.3,86.2
Shake Milton,MIN,29,0.5,10.5,0.67,0.3,0.1,0.4,36.4,40.9,6.7,20,6.7,0,33.3,86.2
Caleb Houstan,ORL,30,0.5,8.8,0.71,0.3,0.1,0.4,25,33.3,14.3,7.1,14.3,7.1,28.6,80.3
Jordan Goodwin,PHX,35,0.3,5.4,0.91,0.3,0.1,0.3,44.4,50,9.1,9.1,9.1,0,45.5,57.9
Jakob Poeltl,TOR,36,0.3,1.9,1,0.3,0.1,0.2,42.9,57.1,10,20,10,0,40,43.6
Malachi Flynn,TOR,27,0.4,5.8,1,0.4,0.2,0.3,55.6,55.6,0,10,0,0,50,43.6
Nick Smith Jr.,CHA,31,0.5,10,0.65,0.4,0.1,0.5,26.7,36.7,0,11.8,0,0,23.5,87.5
Seth Curry,DAL,30,0.5,13.3,0.69,0.4,0.1,0.3,22.2,22.2,25,18.8,18.8,0,37.5,83.6
Nic Claxton,BKN,38,0.4,2.6,0.79,0.3,0.1,0.3,30,40,14.3,21.4,14.3,7.1,28.6,74.8
Jevon Carter,CHI,43,0.3,5.5,0.92,0.3,0.1,0.2,44.4,61.1,0,25,0,0,33.3,55.5
Rudy Gobert,MIN,48,0.2,1.4,1,0.2,0.1,0.2,50,50,18.2,18.2,18.2,9.1,45.5,43.6
Torrey Craig,CHI,28,0.4,5,1,0.4,0.1,0.3,57.1,64.3,9.1,27.3,9.1,0,45.5,43.6
Al Horford,BOS,40,0.3,2,1.1,0.3,0.1,0.2,44.4,61.1,0,10,0,0,40,27.1
Chris Paul,GSW,32,0.8,10.1,0.48,0.4,0.1,0.6,20,20,8,12,8,0,24,98.4
Kelly Oubre Jr.,PHI,36,0.5,6,0.63,0.3,0.1,0.5,27.8,33.3,0,5.3,0,0,26.3,88.7
Moses Moody,GSW,31,0.5,8.3,0.71,0.4,0.1,0.4,30.8,30.8,11.8,11.8,11.8,0,35.3,80.9
Danuel House Jr.,PHI,32,0.5,7.4,0.8,0.4,0.2,0.4,38.5,46.2,6.7,6.7,6.7,0,33.3,72.2
Landry Shamet,WAS,32,0.4,7.1,0.86,0.4,0.1,0.3,36.4,40.9,14.3,14.3,14.3,7.1,35.7,65.4
Chuma Okeke,ORL,22,0.5,7.5,1.2,0.5,0.2,0.5,40,60,0,0,0,0,40,12.5
Isaiah Stewart,DET,34,0.5,3.7,0.81,0.4,0.1,0.4,35.7,39.3,6.3,6.3,0,0,37.5,69.9
Marcus Smart,MEM,20,0.8,7.5,0.87,0.7,0.2,0.6,33.3,45.8,13.3,6.7,6.7,0,40,64.1
Gradey Dick,TOR,26,0.5,12.3,0.93,0.5,0.2,0.4,50,50,21.4,14.3,21.4,7.1,50,53
Julian Strawther,DEN,31,0.4,7.5,1.18,0.4,0.1,0.2,60,80,27.3,36.4,27.3,9.1,45.5,14.2
Bradley Beal,PHX,26,1.1,8.7,0.5,0.5,0.2,1,24,26,3.6,7.1,0,0,25,98
Quentin Grimes,NYK,43,0.5,6.8,0.64,0.3,0.1,0.3,33.3,46.7,0,31.8,0,0,22.7,88.3
Kevin Huerter,SAC,42,0.4,4.3,0.88,0.3,0.1,0.3,33.3,37.5,18.8,6.3,18.8,0,43.8,62.7
Jose Alvarado,NOP,27,0.5,8.8,1,0.5,0.2,0.5,38.5,53.8,0,7.1,0,0,35.7,43.6
Jaren Jackson Jr.,MEM,47,0.3,2.4,1.08,0.3,0.1,0.2,44.4,55.6,15.4,15.4,15.4,0,46.2,28.9
CJ McCollum,NOP,34,0.8,7.2,0.58,0.4,0.1,0.6,25,27.5,11.5,11.5,11.5,0,30.8,93
Ochai Agbaji,UTA,51,0.5,6,0.65,0.3,0.1,0.4,23.8,31,4.3,4.3,4.3,0,26.1,87.1
Cameron Johnson,BKN,39,0.6,7.1,0.68,0.4,0.1,0.4,25,28.1,13.6,13.6,4.5,0,31.8,84.4
Caleb Martin,MIA,32,0.6,5.4,0.79,0.5,0.2,0.5,31.3,37.5,10.5,5.3,10.5,0,31.6,73.7
Christian Wood,LAL,41,0.5,5.6,0.79,0.4,0.1,0.4,31.3,40.6,5.3,10.5,5.3,0,31.6,73.7
Jeff Green,HOU,46,0.3,4.4,1.07,0.3,0.1,0.3,50,58.3,7.1,7.1,7.1,0,50,29.4
Bryce McGowens,CHA,36,0.4,6.6,1.07,0.4,0.2,0.4,53.8,57.7,7.1,7.1,7.1,7.1,50,29.4
Santi Aldama,MEM,38,0.3,4.1,1.15,0.4,0.1,0.2,44.4,55.6,23.1,15.4,23.1,7.7,46.2,18.4
Alperen Sengun,HOU,49,0.2,1.4,1.25,0.3,0.1,0.2,70,70,8.3,8.3,8.3,0,66.7,9.8
Ben Sheppard,IND,22,0.5,8.5,1.5,0.7,0.2,0.2,80,110,30,20,30,0,60,2
Keyonte George,UTA,44,0.7,7.7,0.55,0.4,0.2,0.7,24.1,27.6,0,0,0,0,24.1,95.3
Jordan Clarkson,UTA,40,0.7,10.8,0.57,0.4,0.2,0.6,25,31.3,3.6,10.7,3.6,0,25,93.4
Jimmy Butler,MIA,35,0.7,7.4,0.61,0.5,0.2,0.6,27.3,34.1,3.8,11.5,3.8,0,26.9,89.4
Simone Fontecchio,UTA,49,0.5,6.9,0.64,0.3,0.1,0.4,31.8,34.1,4,8,4,0,32,87.9
Doug McDermott,SAS,44,0.4,7.3,1,0.4,0.1,0.3,46.2,61.5,0,18.8,0,0,37.5,43.6
De'Anthony Melton,PHI,33,0.9,8.4,0.57,0.5,0.2,0.6,33.3,35.7,3.3,26.7,3.3,0,26.7,94.1
Herbert Jones,NOP,42,0.7,6.5,0.61,0.4,0.1,0.5,21.7,30.4,7.1,10.7,7.1,0,25,90.2
Malik Monk,SAC,46,0.6,7.7,0.65,0.4,0.1,0.5,22.7,29.5,7.7,7.7,7.7,0,26.9,86.7
Cam Thomas,BKN,39,0.6,5.9,0.77,0.4,0.2,0.5,33.3,40.5,0,4.5,0,0,31.8,75.8
Reggie Jackson,DEN,51,0.4,5,0.81,0.3,0.1,0.3,46.2,53.8,9.5,28.6,9.5,0,38.1,70.3
Garrison Mathews,ATL,34,0.6,11.4,0.9,0.5,0.1,0.4,33.3,46.7,10.5,10.5,10.5,0,36.8,59.8
MarJon Beauchamp,MIL,31,0.5,7,1.21,0.5,0.2,0.3,60,65,21.4,14.3,21.4,7.1,57.1,12.1
Zach LaVine,CHI,25,0.5,5.1,1.31,0.7,0.2,0.5,50,70.8,0,7.7,0,0,46.2,7
Yuta Watanabe,PHX,23,0.5,9.9,1.54,0.7,0.3,0.4,70,85,0,9.1,0,0,63.6,1.6
Cason Wallace,OKC,50,0.7,8,0.5,0.4,0.2,0.5,30.8,30.8,5.6,22.2,5.6,0,25,98
John Konchar,MEM,37,0.7,9.7,0.69,0.5,0.2,0.6,31.8,36.4,3.8,11.5,3.8,0,30.8,82.6
Dean Wade,CLE,39,0.6,7.5,0.75,0.5,0.2,0.5,33.3,35.7,8.3,4.2,8.3,0,37.5,76.9
T.J. McConnell,IND,33,0.7,10.4,0.75,0.5,0.2,0.5,38.9,38.9,8.3,16.7,8.3,0,37.5,76.9
Donte DiVincenzo,NYK,49,0.4,5,0.86,0.4,0.1,0.4,36.8,39.5,14.3,0,14.3,4.8,42.9,65.4
Bobby Portis,MIL,48,0.4,4.3,1.06,0.4,0.2,0.3,53.3,53.3,5.9,5.9,5.9,0,52.9,31.3
Kris Murray,POR,19,0.6,14.9,1.64,0.9,0.4,0.4,87.5,106.3,9.1,27.3,9.1,9.1,63.6,0.8
Paolo Banchero,ORL,50,0.6,5.6,0.61,0.4,0.1,0.5,29.2,33.3,9.7,12.9,6.5,0,29,89.8
Mike Conley,MIN,45,0.6,7.3,0.68,0.4,0.2,0.6,28,32,7.1,7.1,7.1,3.6,28.6,85.2
