PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Kevin Huerter,SAC,45,2.9,27.9,1.05,3,1,2.6,40.2,53.4,4.7,4.7,4.7,0,41.1,65.9
Tyrese Maxey,PHI,44,2.4,10.1,1.24,3,1,2,48.9,59.4,13.3,4.8,12.4,3.8,51.4,91
Stephen Curry,GSW,43,2.2,8.8,1.23,2.7,0.8,1.7,47.2,61.1,13.8,12.8,11.7,3.2,46.8,90.5
Keegan Murray,SAC,43,2.7,18.9,0.95,2.6,1,2.5,41.3,50,0.9,6,0.9,0,39.3,50.2
Jamal Murray,DEN,37,2.7,13.6,1.08,2.9,1.2,2.3,51.2,57.7,6,10,4,0,49,71
Mikal Bridges,BKN,48,2,9.5,1.1,2.2,0.8,1.5,50.7,57,16.7,12.5,13.5,3.1,51,77.3
Devin Vassell,SAS,45,2.3,13.5,0.96,2.2,0.9,2,46.7,51.1,5.8,8.7,4.8,1,44.2,51.7
Tim Hardaway Jr.,DAL,46,2.1,12.2,0.99,2,0.7,1.8,38.6,48.2,9.5,7.4,7.4,4.2,38.9,55.9
Desmond Bane,MEM,37,2.6,11.4,0.95,2.5,0.9,2.1,41.8,50,8.2,12.4,8.2,2.1,40.2,49.8
Damian Lillard,MIL,46,1.8,7.9,1.08,2,0.6,1.5,41.2,48.5,14.3,8.3,14.3,3.6,44,72.2
Duncan Robinson,MIA,45,1.9,15.9,1.05,2,0.7,1.7,42.3,56.4,1.1,9.2,1.1,0,39.1,65.4
Malik Monk,SAC,46,2.1,14.3,0.9,1.9,0.7,1.6,42.7,53.3,4.2,18.8,4.2,1,35.4,37.4
Jalen Brunson,NYK,47,1.7,6.7,1.09,1.8,0.7,1.4,48.5,50,12.8,5.1,12.8,2.6,51.3,73.5
Cam Thomas,BKN,39,2.3,10.7,0.92,2.1,0.8,1.9,42.5,45.9,10.2,8,9.1,1.1,44.3,41.7
Tyler Herro,MIA,30,2.9,13.7,0.91,2.7,0.9,2.4,38.9,50.7,3.4,14.8,3.4,0,35.2,40
Jalen Green,HOU,49,1.4,7.6,1.04,1.5,0.5,1.2,44.1,53.4,9.9,8.5,9.9,1.4,45.1,64.5
Klay Thompson,GSW,44,1.6,9.3,0.99,1.6,0.5,1.3,40.7,52.5,5.7,11.4,5.7,1.4,38.6,55.5
Kentavious Caldwell-Pope,DEN,49,1.3,14.1,1.01,1.4,0.6,1.2,47.5,50.8,6.1,6.1,4.5,1.5,47,62.6
De'Aaron Fox,SAC,41,1.7,6.5,0.97,1.6,0.6,1.4,40.7,49.2,7.2,8.7,7.2,1.4,40.6,53.1
Cade Cunningham,DET,40,1.9,7.6,0.91,1.7,0.7,1.6,45.2,46,9.5,8.1,8.1,1.4,45.9,39.3
Trae Young,ATL,44,1.8,6.5,0.86,1.5,0.5,1.3,39,43.2,12.8,12.8,7.7,1.3,41,34.1
Brandon Ingram,NOP,44,1.3,6.3,1.12,1.5,0.5,1,55.8,58.1,13.8,12.1,13.8,0,53.4,80.1
