PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Clint Capela,ATL,47,3.6,34.1,1.08,3.9,1.6,3.1,51.7,51.7,13.1,2.4,13.1,3,54.8,40.2
Rudy Gobert,MIN,49,2.4,20.5,1.32,3.2,1.3,2,65.6,65.6,20.8,2.5,18.3,3.3,67.5,87.1
Anthony Davis,LAL,46,2.4,10.9,1.25,3,1.3,2.1,59.2,59.2,13.6,0,12.7,2.7,62.7,72
Nikola Jokic,DEN,49,2.2,9.5,1.26,2.8,1.2,1.9,61.7,62.2,10.3,2.8,9.3,0.9,63.6,75.9
Andre Drummond,CHI,50,2.7,33.8,1,2.7,1.2,2.3,51.3,51.3,13.5,3,12.8,1.5,53.4,28.5
Jonas Valanciunas,NOP,48,2.1,17,1.29,2.8,1.1,1.8,62.4,62.4,17.6,3.9,17.6,4.9,64.7,84.1
Jarrett Allen,CLE,42,2.3,17.3,1.21,2.8,1.1,1.9,61.5,61.5,16.5,8.2,14.4,5.2,60.8,65.9
Daniel Gafford,WAS,44,2.2,24.6,1.19,2.6,1.1,1.8,64.9,64.9,13.7,7.4,13.7,2.1,63.2,61.6
Giannis Antetokounmpo,MIL,47,2,7.1,1.2,2.3,1,1.5,63.9,63.9,15.2,6.5,14.1,0,65.2,62.9
Isaiah Hartenstein,NYK,47,2,30.5,1.11,2.2,1,1.7,59.5,59.5,10.6,8.5,10.6,3.2,56.4,45.3
Domantas Sabonis,SAC,47,1.9,10.1,1.17,2.2,0.9,1.6,58.1,58.1,14.9,4.6,14.9,4.6,59.8,58.9
Nick Richards,CHA,39,2,25.1,1.29,2.5,1.2,1.8,64.8,64.8,9.1,1.3,9.1,2.6,66.2,82.8
Joel Embiid,PHI,34,2.3,7.3,1.27,2.9,1,1.8,56.7,56.7,23.4,3.9,23.4,5.2,62.3,80.9
Saddiq Bey,ATL,48,1.7,13.5,1.12,1.9,0.7,1.5,51.4,52.1,16.9,6,16.9,7.2,53,47.8
John Collins,UTA,47,1.3,9.7,1.52,1.9,0.8,1.1,73.6,73.6,11.7,1.7,10,1.7,75,97
Aaron Gordon,DEN,45,1.9,14.6,1.06,2,0.8,1.7,50.7,51.3,11.9,0,11.9,1.2,53.6,36.2
Jalen Duren,DET,34,1.9,15.8,1.34,2.6,1.2,1.7,70.7,70.7,7.7,6.2,7.7,3.1,66.2,89.2
Nikola Vucevic,CHI,45,1.6,9.3,1.16,1.9,0.9,1.6,58.6,58.6,4.1,2.7,4.1,1.4,58.1,55.6
Nic Claxton,BKN,38,1.7,16,1.27,2.2,1,1.4,69.1,69.1,10.6,6.1,9.1,0,65.2,80.9
