PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Luka Doncic,DAL,41,7.6,23.7,1.12,8.5,2.8,6.1,45.4,53.6,17.7,5.5,15.8,3.2,49.5,82.7
Shai Gilgeous-Alexander,OKC,49,5.3,20.6,1.19,6.3,2.1,4.1,51.5,55.4,21.5,6.1,16.5,5,55.9,93.9
Jayson Tatum,BOS,46,5.7,22.9,1.07,6,2.1,4.8,43.6,52.7,11.5,6.5,10,2.7,45.4,74.9
Joel Embiid,PHI,34,6,19.3,1.09,6.5,2.4,4.8,50.3,51.2,17.6,6.4,16.2,3.9,53.4,78.8
Kawhi Leonard,LAC,45,3.6,18,1.23,4.4,1.7,3.1,56.1,60.8,10.5,5.6,8.6,1.9,56.8,97.2
Anthony Edwards,MIN,47,4.3,17,0.96,4.1,1.4,3.4,42.4,49.1,12.9,10.9,12.9,2.5,43.8,53.6
James Harden,LAC,43,3.9,25,1.1,4.3,1.1,3,36.2,46.5,18.9,7.1,17.8,1.2,45,81.6
Giannis Antetokounmpo,MIL,47,3.7,13.3,0.99,3.6,1.2,2.5,47.5,48.7,23.3,12.2,19.2,4.1,50,60.9
Kevin Durant,PHX,42,4.1,16.8,0.97,4,1.4,3.2,44.4,45.9,14.9,11.5,13.8,2.9,46,56.4
Zion Williamson,NOP,38,4.4,21.2,1,4.4,1.6,3.2,49.2,49.2,23.5,10.2,22.3,7.2,50.6,65.1
Dejounte Murray,ATL,48,2.8,13.3,1.16,3.3,1.4,2.4,56.5,60.4,9.6,10.3,8.8,4.4,52.9,89.4
Paul George,LAC,45,3.3,15.9,1.02,3.4,1.2,2.9,41.1,48.1,10.7,4.7,8.1,2,43.6,67.6
Trae Young,ATL,44,3.5,12.6,0.98,3.4,1.1,2.7,41,50,12.5,11.2,8.6,0.7,43.4,58.7
Paolo Banchero,ORL,50,3.6,14.9,0.8,2.9,1,2.6,39.7,40.5,17.6,13.7,17,3.3,41.2,28.5
DeMar DeRozan,CHI,48,2.8,13.4,1.08,3,1,2.1,48.5,49,23.1,6.7,21.6,5.2,54.5,77.7
De'Aaron Fox,SAC,41,3.3,12.9,1.02,3.4,1.2,2.8,44.2,49.6,18.2,7.3,15.3,8,46,68.7
Karl-Anthony Towns,MIN,49,2.7,13.2,1.04,2.8,1,2,52.1,52.6,17.4,12.9,15.9,3,52.3,71.5
Jaren Jackson Jr.,MEM,47,2.8,12.6,1.05,2.9,1,2,47.9,47.9,20.8,8.5,19.2,3.1,53.1,72.1
Devin Booker,PHX,40,3.5,13.9,0.96,3.3,1.3,3,42.4,44.1,13.8,3.6,11.6,2.9,47.1,54.7
Julius Randle,NYK,45,3.2,12.9,0.94,3,1,2.4,42.6,45.4,16.2,10.6,14.8,2.8,45.1,49.7
Jordan Clarkson,UTA,41,3.1,15.9,1.05,3.2,1.1,2.4,44.9,51,15.1,11.1,13.5,4,46,72.6
Damian Lillard,MIL,46,2.8,12.1,1,2.8,0.8,2,38,42.9,24,7.8,20.2,3.1,47.3,65.1
