PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Garrison Mathews,ATL,34,0.4,7.8,0.15,0.1,0,0.4,7.7,7.7,0,0,0,0,7.7,100
Kevin Knox II,DET,28,0.4,5.9,0.18,0.1,0,0.4,10,10,0,9.1,0,0,9.1,99.6
Jevon Carter,CHI,43,0.2,4.6,0.2,0,0,0.2,12.5,12.5,10,10,10,0,10,99.1
Jordan Clarkson,UTA,40,0.3,3.8,0.4,0.1,0.1,0.2,25,25,0,20,0,0,20,97.4
Tyrese Maxey,PHI,44,0.5,4.3,0.25,0.1,0,0.3,13.3,13.3,5,20,5,0,15,98.7
Lonnie Walker IV,BKN,29,0.4,7.2,0.5,0.2,0.1,0.3,22.2,27.8,8.3,16.7,8.3,0,25,95.7
Joe Ingles,ORL,31,0.4,8.1,0.55,0.2,0.1,0.3,22.2,22.2,9.1,9.1,0,0,27.3,93.1
Shake Milton,MIN,29,0.3,7,0.6,0.2,0.1,0.2,33.3,41.7,10,30,10,0,30,89.7
Zach LaVine,CHI,25,0.7,7.1,0.39,0.3,0.1,0.6,20,23.3,0,16.7,0,0,16.7,97.9
Evan Mobley,CLE,24,0.6,4.2,0.5,0.3,0.1,0.5,23.1,26.9,0,7.1,0,0,21.4,95.7
Keita Bates-Diop,PHX,34,0.4,7.3,0.5,0.2,0.1,0.4,16.7,20.8,7.1,7.1,7.1,0,21.4,95.7
Andre Jackson Jr.,MIL,32,0.4,7.6,0.5,0.2,0.1,0.4,15.4,15.4,14.3,0,14.3,7.1,21.4,95.7
Chet Holmgren,OKC,49,0.2,1.7,0.58,0.1,0.1,0.2,27.3,31.8,0,8.3,0,0,25,90.6
Zach Collins,SAS,38,0.3,2.2,0.64,0.2,0.1,0.2,33.3,38.9,0,18.2,0,0,27.3,88
Rudy Gobert,MIN,48,0.2,1.3,0.7,0.1,0.1,0.2,33.3,33.3,10,0,10,0,40,84.1
Dorian Finney-Smith,BKN,42,0.4,3.7,0.47,0.2,0,0.4,13.3,13.3,11.8,0,11.8,0,23.5,96.6
Jaime Jaquez Jr.,MIA,44,0.3,2.9,0.53,0.2,0.1,0.3,23.1,30.8,0,13.3,0,0,20,93.6
Jaren Jackson Jr.,MEM,47,0.3,2.6,0.57,0.2,0.1,0.2,27.3,36.4,0,21.4,0,0,21.4,92.2
Kyle Anderson,MIN,49,0.3,3.8,0.57,0.2,0.1,0.2,25,29.2,7.1,7.1,7.1,0,28.6,92.2
Bam Adebayo,MIA,39,0.3,2.2,0.67,0.2,0.1,0.3,30,40,0,16.7,0,0,25,86.5
Brandin Podziemski,GSW,37,0.3,3.4,0.67,0.2,0.1,0.3,30,30,8.3,8.3,8.3,0,33.3,86.5
Jordan Goodwin,PHX,35,0.3,4.9,0.8,0.2,0.1,0.2,28.6,35.7,20,20,20,10,30,78.4
