PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Klay Thompson,GSW,44,5.6,32.9,1.05,5.9,2,5,40.5,54.1,5.3,7.3,5.3,1.6,39.7,55.8
Stephen Curry,GSW,43,3.8,15.4,1.29,5,1.7,3.5,49.7,67.2,4.8,6.7,4.8,3,47.3,88.5
Lauri Markkanen,UTA,41,3.5,17.8,1.12,3.9,1.4,3.1,45.3,55.9,7,4.9,7,2.1,45.8,68.8
Bogdan Bogdanovic,ATL,47,2.4,14.7,1.01,2.4,0.9,2.2,40.8,49.5,5.4,3.6,4.5,1.8,41.4,51.6
Paul George,LAC,45,2,9.8,1.11,2.3,0.8,1.9,41.9,54.1,5.4,3.3,5.4,2.2,42.4,65.6
Karl-Anthony Towns,MIN,49,1.7,8.5,1.14,2,0.7,1.5,47.2,61.8,4.7,10.6,4.7,0,44.7,73.2
Michael Porter Jr.,DEN,51,1.9,13.4,0.97,1.9,0.7,1.7,41.6,52.2,2,8.2,2,1,38.8,49
Jerami Grant,POR,43,2.3,11.5,0.92,2.1,0.7,1.9,37.8,40.9,16.2,5.1,15.2,4,43.4,43.9
Corey Kispert,WAS,48,1.7,16.1,1.13,1.9,0.6,1.4,44.9,58,6.3,8.8,6.3,1.3,43.8,71.2
Kevin Durant,PHX,42,1.8,7.2,1.12,2,0.7,1.6,47,52.3,10.7,2.7,8,1.3,50.7,69.9
Kawhi Leonard,LAC,45,1.8,8.9,1.04,1.8,0.8,1.7,46.7,50.7,6.3,2.5,5,2.5,47.5,54.1
Jordan Poole,WAS,47,1.8,10.4,0.96,1.8,0.6,1.5,42.9,51.4,7,12.8,5.8,1.2,40.7,48.4
Brandon Ingram,NOP,44,1.6,7.5,1.16,1.8,0.7,1.3,56.1,58.8,11.6,5.8,7.2,0,58,78.3
Anthony Edwards,MIN,47,1.5,6,1.1,1.7,0.5,1.1,48,57,18.3,14.1,18.3,2.8,47.9,63.7
Tim Hardaway Jr.,DAL,46,1.6,9.6,1.03,1.7,0.6,1.5,43.3,53.7,4,6.7,4,0,42.7,52.2
Bojan Bogdanovic,DET,28,2.8,14.8,0.89,2.5,0.9,2.1,40,52.5,6.3,17.7,3.8,0,36.7,35
Nikola Jokic,DEN,49,1.1,5,1.21,1.4,0.5,1,55.3,61.7,17.9,5.4,14.3,7.1,55.4,84.7
Jordan Hawkins,NOP,44,1.1,11.4,1.29,1.4,0.5,1,47.8,65.2,6.1,2,6.1,2,49,87.8
Terry Rozier,CHA,30,1.9,8.7,1.09,2.1,0.8,1.7,46,56,5.2,8.6,5.2,0,44.8,62.4
Max Strus,CLE,47,1.6,12.2,0.82,1.3,0.4,1.4,30.9,44.1,1.3,9.2,0,0,28.9,23.6
Jordan Clarkson,UTA,41,1.6,8.2,0.91,1.4,0.5,1.3,38.2,46.4,7.7,10.8,6.2,3.1,36.9,40.8
Alec Burks,DET,42,1.2,10.5,1.16,1.4,0.4,1,41.5,53.7,18,2,12,2,50,80
Simone Fontecchio,UTA,49,1.1,12.6,1.09,1.2,0.4,0.9,46.7,61.1,5.7,13.2,5.7,3.8,41.5,63.1
Desmond Bane,MEM,37,1.7,7.4,0.87,1.5,0.5,1.4,35.8,47.2,3.2,12.7,3.2,0,33.3,31.8
Sam Hauser,BOS,48,0.8,10.9,1.47,1.1,0.4,0.7,52.9,75,2.8,2.8,2.8,0,52.8,96.2
Tyler Herro,MIA,30,1.5,7,1.16,1.7,0.6,1.3,47.4,60.5,6.7,11.1,6.7,2.2,44.4,76.4
Shaedon Sharpe,POR,32,1.5,8.6,1.08,1.6,0.6,1.3,41.9,52.3,8.3,2.1,8.3,0,45.8,60.8
Devin Booker,PHX,40,1.4,5.4,0.96,1.3,0.6,1.2,50,51,3.7,7.4,3.7,0,48.1,47.8
Doug McDermott,SAS,45,0.9,16,1.28,1.1,0.4,0.8,45.7,64.3,7.7,2.6,7.7,0,48.7,86.6
Jaylen Brown,BOS,45,1,4.7,1.06,1.1,0.4,1,43.2,53.4,4.3,2.2,4.3,2.2,43.5,56.7
Kyle Kuzma,WAS,48,0.9,3.9,1.14,1,0.4,0.8,50,55.3,7.1,2.4,7.1,0,52.4,74.8
Sam Merrill,CLE,32,1.3,19.2,1.12,1.5,0.5,1.3,39,58.5,0,4.7,0,0,37.2,68.2
Miles Bridges,CHA,37,0.9,4.2,1.41,1.2,0.4,0.8,55.2,67.2,12.5,3.1,12.5,6.3,56.3,93
Landry Shamet,WAS,32,1.3,18.1,1.07,1.4,0.5,1.3,40,52.5,4.8,2.4,4.8,2.4,40.5,57.7
Buddy Hield,IND,50,1,9.2,0.86,0.9,0.3,0.9,35.6,46.7,1.9,11.5,1.9,0,32.7,30.6
Brandon Miller,CHA,42,1.4,8.4,0.77,1,0.4,1.3,30.4,39.3,0,1.8,0,0,29.8,17.8
Anfernee Simons,POR,28,1.2,5.3,1.27,1.5,0.5,1.1,50,70,0,9.1,0,0,45.5,86
Keyonte George,UTA,45,0.8,6.4,1.17,0.9,0.2,0.6,40.7,53.7,22.2,8.3,22.2,5.6,47.2,81.4
Mikal Bridges,BKN,48,0.9,4.3,0.95,0.9,0.3,0.8,38.9,45.8,9.1,9.1,4.5,0,40.9,46.5
Duncan Robinson,MIA,45,1.1,8.8,0.85,0.9,0.3,0.8,39.5,50,4.2,16.7,4.2,0,33.3,29.9
Jimmy Butler,MIA,35,0.7,3.7,1.67,1.1,0.4,0.6,75,80,20.8,4.2,20.8,8.3,75,100
