PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Vasilije Micic,OKC,27,0.9,22.2,0.29,0.3,0,0.6,6.7,6.7,12.5,25,12.5,0,16.7,100
P.J. Tucker,PHI,3,3.7,35.5,0.82,3,1,3.3,30,40,9.1,9.1,9.1,9.1,27.3,79.5
Monte Morris,DET,6,1.8,45.8,0.91,1.7,0.7,1.2,57.1,64.3,18.2,18.2,9.1,0,45.5,52
Dru Smith,MIA,9,1.1,27,1.2,1.3,0.6,1.1,50,55,10,0,10,10,50,1.1
Stanley Umude,DET,10,1.3,22.4,1.08,1.4,0.3,0.9,33.3,38.9,38.5,0,30.8,7.7,53.8,6.7
Jake LaRavia,MEM,9,1.3,23.5,1.17,1.6,0.6,1.1,50,55,16.7,8.3,16.7,8.3,50,2.4
Matt Ryan,NOP,14,2.1,27.6,0.52,1.1,0.4,1.7,25,27.1,3.4,13.8,3.4,0,24.1,99.7
Jordan Nwora,IND,12,2,41.4,0.63,1.3,0.4,1.4,29.4,32.4,8.3,20.8,4.2,0,29.2,98.9
Jamal Cain,MIA,12,1.6,25,0.79,1.3,0.3,0.9,36.4,40.9,21.1,21.1,10.5,0,42.1,85.7
Taylor Hendricks,UTA,11,1.3,25.9,1.21,1.5,0.5,1.1,50,54.2,14.3,0,14.3,0,57.1,0.3
Derrick Rose,MEM,17,2.2,40.7,0.54,1.2,0.5,1.4,34.8,37,5.4,32.4,5.4,0,27,99.5
Jeremiah Robinson-Earl,NOP,14,1.7,28.9,0.83,1.4,0.5,1.5,33.3,38.1,12.5,0,4.2,0,37.5,76.2
Jarace Walker,IND,12,1.8,37.5,0.95,1.7,0.7,1.3,53.3,56.7,14.3,19,9.5,4.8,47.6,36.2
Joe Harris,DET,11,1.9,46.7,0.95,1.8,0.6,1.5,43.8,53.1,9.5,14.3,0,0,42.9,36.2
Gradey Dick,TOR,26,1,23.7,0.78,0.8,0.3,0.8,33.3,35.7,11.1,11.1,3.7,0,37,87.1
Ousmane Dieng,OKC,24,1.1,29.5,0.81,0.9,0.4,0.7,52.9,55.9,3.8,30.8,3.8,0,38.5,81.1
Otto Porter Jr.,TOR,12,2.2,45.6,0.81,1.8,0.7,1.4,47.1,50,7.7,26.9,7.7,0,38.5,81.1
Robert Williams III,POR,6,4.7,43.8,0.79,3.7,1.3,4.2,32,34,14.3,7.1,14.3,10.7,32.1,86.5
P.J. Tucker,LAC,11,3.1,41.5,0.71,2.2,0.8,2.6,31,34.5,8.8,11.8,8.8,5.9,29.4,96.5
Skylar Mays,POR,19,2,39.6,0.66,1.3,0.6,1.4,40.7,42.6,7.9,21.1,7.9,0,34.2,98.1
Trent Forrest,ATL,16,1.9,38.5,0.83,1.6,0.6,1.3,50,50,10,23.3,6.7,0,43.3,76.2
Theo Maledon,CHA,11,2.5,35.5,0.93,2.3,0.7,1.9,38.1,45.2,11.1,11.1,11.1,0,40.7,46.2
Seth Curry,DAL,30,1.3,33.3,0.65,0.9,0.3,1,30,35,10,17.5,10,2.5,30,98.4
Kris Murray,POR,19,1.4,36.5,0.96,1.4,0.5,0.9,50,55.6,14.8,18.5,14.8,0,48.1,33.2
Trevelin Queen,ORL,9,3,42.9,0.96,2.9,1.2,2.8,44,48,3.7,3.7,3.7,0,44.4,33.2
GG Jackson,MEM,16,1.8,29.8,0.96,1.7,0.7,1.2,57.9,57.9,10.7,25,10.7,3.6,46.4,32.9
Bones Hyland,LAC,15,2.3,39.8,0.8,1.9,0.6,1.7,34.6,38.5,20,11.4,11.4,5.7,37.1,83.8
Gabe Vincent,LAL,5,4.8,53.3,1.17,5.6,2.4,4,60,65,8.3,12.5,8.3,4.2,54.2,2.4
Jacob Gilyard,MEM,31,1.4,25.3,0.66,0.9,0.3,1.1,29.4,32.4,9.1,15.9,6.8,2.3,29.5,97.8
Yuta Watanabe,PHX,23,1.4,28.8,0.91,1.3,0.5,1.1,48,52,9.4,15.6,6.3,3.1,43.8,53.5
