PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Trae Young,ATL,44,12.5,45.8,1.01,12.6,4,8.9,44.8,54.5,14.5,17,10.5,2.4,43.8,81.2
Jalen Brunson,NYK,47,11.3,45.6,1.04,11.7,4.3,9.2,46.7,52.7,11.9,9.5,10,3.2,46.9,86.3
Luka Doncic,DAL,41,11.7,36.6,1.07,12.5,4.7,8.6,54,61.7,12.9,17.5,12.1,4,47.6,89.3
Damian Lillard,MIL,46,10.1,43.3,1,10.1,3.3,7.6,43.6,50.6,13.2,13.2,9.7,1.7,44.3,80.8
Shai Gilgeous-Alexander,OKC,49,8.2,31.8,1.1,9,3.2,6.3,51.3,53.7,17.9,10.4,14.1,4.7,52.1,92.7
Cade Cunningham,DET,40,11,45.5,0.9,9.9,3.8,8.1,47.2,48.9,11.4,17.3,10.5,2.3,43.4,58.5
Donovan Mitchell,CLE,38,10.2,38.5,0.98,10.1,3.6,8.2,44.4,51.4,10.5,10.3,9,0.8,44.5,76.9
Tyrese Haliburton,IND,37,9.1,45.5,1.13,10.3,3.9,7.5,51.6,60.8,9.2,11.6,8,3.9,48.2,95.3
Tyrese Maxey,PHI,44,8.6,36.5,0.96,8.3,3,7.2,41.3,48.3,11.1,9.2,10.3,3.2,42.1,73.1
DeMar DeRozan,CHI,48,7.1,34,1.03,7.3,2.7,5.5,49,49.6,17.4,9.1,15.6,3.8,51.2,84.2
Anthony Edwards,MIN,47,7.5,30,0.97,7.3,2.5,5.5,45.9,50.8,15.3,16.1,13.8,4.5,44.1,75.2
Devin Booker,PHX,40,7.8,31.5,1.08,8.5,2.8,5.7,48.9,55.9,16,12.8,13.7,1.9,49.8,91
Stephen Curry,GSW,43,8.3,33.1,0.94,7.8,2.6,6.4,40.4,50,9,14.1,8.2,1.1,39.4,69.5
De'Aaron Fox,SAC,41,8.3,32.2,0.97,8.1,3.1,6.5,47.8,52.6,10.9,12.9,9.1,2.3,45.7,74.4
