PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Josh Green,DAL,36,0.3,2.8,0.18,0.1,0,0.3,0,0,9.1,9.1,9.1,0,9.1,100
Keyonte George,UTA,44,0.3,2.9,0.27,0.1,0,0.3,9.1,13.6,0,0,0,0,9.1,99.4
Day'Ron Sharpe,BKN,33,0.3,3.4,0.36,0.1,0.1,0.3,18.2,18.2,0,0,0,0,18.2,98.9
Wendell Carter Jr.,ORL,23,0.5,3.6,0.36,0.2,0.1,0.5,18.2,18.2,0,0,0,0,18.2,98.9
Dennis Schroder,TOR,48,0.2,1.8,0.4,0.1,0,0.2,22.2,22.2,0,10,0,0,20,97.8
Isaiah Jackson,IND,28,0.4,4.3,0.42,0.2,0.1,0.3,22.2,22.2,8.3,16.7,8.3,0,25,97.2
Paul George,LAC,45,0.2,1.8,0.6,0.1,0.1,0.2,37.5,37.5,0,20,0,0,30,93.9
Michael Porter Jr.,DEN,51,0.2,2.4,0.6,0.1,0,0.1,20,20,30,30,30,10,30,93.9
Draymond Green,GSW,22,0.6,5.9,0.54,0.3,0,0.4,12.5,18.8,15.4,23.1,15.4,0,23.1,96.1
Kyrie Irving,DAL,27,0.4,4.5,0.58,0.3,0.1,0.4,25,25,8.3,0,8.3,8.3,25,95.6
Jamal Murray,DEN,37,0.3,2.3,0.64,0.2,0.1,0.3,27.3,31.8,0,0,0,0,27.3,91.1
David Roddy,MEM,46,0.2,3,0.64,0.2,0.1,0.2,33.3,38.9,9.1,9.1,9.1,0,27.3,91.1
Russell Westbrook,LAC,48,0.2,3.1,0.64,0.1,0.1,0.2,33.3,38.9,0,18.2,0,0,27.3,91.1
Bobby Portis,MIL,48,0.2,2.5,0.7,0.1,0.1,0.2,30,35,0,0,0,0,30,87.8
Shai Gilgeous-Alexander,OKC,49,0.2,1.6,0.8,0.2,0.1,0.2,30,35,10,0,10,10,30,83.3
Keegan Murray,SAC,43,0.3,2.5,0.75,0.2,0.1,0.2,33.3,38.9,8.3,16.7,8.3,0,33.3,86
Simone Fontecchio,UTA,49,0.2,3.3,0.75,0.2,0.1,0.2,40,45,0,16.7,0,0,33.3,86
Dominick Barlow,SAS,19,0.6,7.6,0.75,0.5,0.2,0.6,36.4,40.9,0,8.3,0,0,33.3,86
Fred VanVleet,HOU,47,0.2,1.8,0.9,0.2,0.1,0.1,57.1,64.3,0,30,0,0,40,74.9
Jabari Smith Jr.,HOU,44,0.2,2.1,0.9,0.2,0.1,0.2,37.5,50,10,10,10,0,40,74.9
Jalen Suggs,ORL,44,0.2,2.2,0.9,0.2,0.1,0.2,44.4,50,0,10,0,0,40,74.9
Clint Capela,ATL,43,0.4,3.7,0.53,0.2,0.1,0.4,25,25,10.5,10.5,10.5,5.3,26.3,96.7
Tyler Herro,MIA,29,0.6,4.9,0.59,0.3,0.1,0.5,21.4,28.6,5.9,11.8,5.9,0,23.5,95
Damian Lillard,MIL,45,0.4,3,0.63,0.2,0.1,0.3,28.6,35.7,6.3,12.5,6.3,6.3,25,92.2
D'Angelo Russell,LAL,46,0.3,3.4,0.63,0.2,0.1,0.3,28.6,28.6,12.5,6.3,12.5,6.3,31.3,92.2
Nickeil Alexander-Walker,MIN,49,0.3,3.2,0.67,0.2,0.1,0.3,30.8,34.6,6.7,6.7,0,0,33.3,89
