PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Alperen Sengun,HOU,49,5.7,27.2,1.15,6.5,2.6,4.6,56.8,58.6,14.4,7.2,13.7,3.2,56.5,52.6
Nikola Vucevic,CHI,45,6.7,38.1,1.04,7,3,6.1,49.5,53.5,5,6,5,1.3,48.3,35.1
Myles Turner,IND,47,3.9,26,1.4,5.5,1.9,3.3,59.5,68.3,22.3,3.3,22.3,8.7,62,87.1
Anthony Davis,LAL,46,4.3,19.4,1.12,4.8,2,3.6,55.5,56.1,13.8,7.7,13.8,5.1,54.6,49.1
Joel Embiid,PHI,34,5.3,16.9,1.08,5.7,2,4,50.4,54.4,15.1,10.6,12.8,1.1,52,43.3
Chet Holmgren,OKC,50,3,20.3,1.24,3.8,1.4,2.6,55.4,62.7,13.2,5.3,13.2,3.9,56.6,67.8
Domantas Sabonis,SAC,47,3,16.1,1.27,3.7,1.5,2.3,64.2,67,20.1,10.1,20.1,8.6,60.4,69.6
Nikola Jokic,DEN,49,2.8,12.1,1.28,3.6,1.4,2.3,61.1,65,13.2,6.6,12.5,2.9,61,70.8
Deandre Ayton,POR,34,4.4,31.7,1.11,4.9,2.3,3.8,60.2,60.2,6,9.4,5.4,1.3,55.7,48.5
Bam Adebayo,MIA,40,3.5,17.1,1.14,4,1.6,2.7,57.9,57.9,17.7,8.5,17.7,2.1,58.2,50.9
Kristaps Porzingis,BOS,36,3.4,20.2,1.29,4.3,1.5,2.9,53.4,67,9.1,6.6,8.3,0.8,53.7,74.3
Jonas Valanciunas,NOP,48,2.3,18.7,1.33,3.1,1.3,2,64.3,69.4,8,5.4,7.1,0.9,63.4,78.4
Jarrett Allen,CLE,42,3,22.6,1.16,3.5,1.5,2.5,61,61,13.4,7.9,13.4,3.9,58.3,53.8
Rudy Gobert,MIN,49,2.4,20.5,1.18,2.9,1.1,1.8,63.2,63.2,23.3,10.8,21.7,6.7,61.7,56.7
Karl-Anthony Towns,MIN,49,2.1,10.1,1.39,2.9,1,1.8,57.5,69.5,12.9,5.9,11.9,5,57.4,84.2
Brook Lopez,MIL,47,2.5,20.6,1.19,2.9,1,2.2,46.6,56.8,12.1,1.7,12.1,2.6,50.9,57.3
Moritz Wagner,ORL,48,2.1,21.6,1.29,2.7,1,1.6,61.8,65.1,21,8,20,5,63,74.9
Victor Wembanyama,SAS,44,2.5,11.8,1.13,2.9,1.1,2.2,50,56.3,13.4,6.3,13.4,5.4,50.9,50.3
Jalen Duren,DET,34,2.7,22.3,1.37,3.7,1.7,2.4,70.4,70.4,13,6.5,13,7.6,67.4,82.5
Daniel Gafford,WAS,44,1.9,22,1.46,2.8,1.2,1.6,73.9,73.9,22.4,2.4,22.4,5.9,75.3,90.6
Onyeka Okongwu,ATL,48,1.8,22.1,1.4,2.5,1,1.4,70.6,70.6,17.6,5.9,17.6,3.5,69.4,86.5
Jusuf Nurkic,PHX,46,2.5,19.7,1.04,2.6,1.1,2,53.3,55.4,12.3,10.5,12.3,3.5,51.8,38.6
Jakob Poeltl,TOR,38,2.3,24.2,1.36,3.1,1.5,2.1,71.8,71.8,8,4.6,8,2.3,69,81.9
Ivica Zubac,LAC,39,2.4,23.4,1.24,3,1.3,1.8,71,71,18.9,11.6,18.9,3.2,65.3,67.3
Giannis Antetokounmpo,MIL,47,2,7.3,1.21,2.4,1,1.6,64.9,64.9,20,7.4,20,5.3,64.2,60.8
Clint Capela,ATL,47,2.1,20.1,1.14,2.4,1,1.9,56.3,56.3,12.1,3,12.1,3,57.6,52
Nic Claxton,BKN,38,2.7,24.8,1.09,2.9,1.3,2.3,57.5,57.5,7.8,7.8,7.8,1,54.9,46.8
Zach Collins,SAS,38,3.3,25.2,0.87,2.9,1.1,2.9,39.4,45.9,4,8.8,3.2,0,38.4,13.5
P.J. Washington,CHA,42,2.4,17,1.07,2.5,1,2.1,44.4,53.3,9.1,6.1,9.1,6.1,43.4,41.5
Jaren Jackson Jr.,MEM,47,2.4,11.1,0.91,2.2,0.7,2,37,42.4,16.7,5.3,15.8,2.6,43.9,19.9
John Collins,UTA,47,1.5,11.7,1.39,2.1,0.9,1.4,67.2,70.3,13.9,5.6,13.9,8.3,65.3,84.8
Dereck Lively II,DAL,36,1.9,25.9,1.37,2.7,1.2,1.7,70.5,70.5,12.9,4.3,11.4,4.3,68.6,83
Lauri Markkanen,UTA,41,1.8,9.3,1.28,2.3,0.8,1.6,49.3,65.7,6.8,2.7,6.8,0,50,71.3
Paul Reed,PHI,48,1.6,26.3,1.23,1.9,0.8,1.4,58,60.9,9.3,2.7,9.3,4,58.7,63.2
Nick Richards,CHA,39,1.7,22.1,1.32,2.3,0.7,1.2,61.7,61.7,30.9,2.9,30.9,2.9,69.1,77.8
Duop Reath,POR,38,2.3,28.1,0.93,2.2,0.7,1.9,37.8,46.6,12.5,5.7,12.5,2.3,40.9,23.4
Dario Saric,GSW,44,1.9,20,0.95,1.8,0.6,1.7,34.2,46.6,7.2,4.8,7.2,0,37.3,26.9
Day'Ron Sharpe,BKN,37,1.4,19.9,1.47,2.1,0.9,1.2,75,75,26.4,0,26.4,9.4,75.5,92.4
LeBron James,LAL,44,1.4,6.1,1.24,1.8,0.7,1.2,59.6,65.4,14.3,11.1,14.3,7.9,55.6,66.5
Jalen Johnson,ATL,35,1.6,10.9,1.29,2.1,0.9,1.4,62.5,65.6,12.5,7.1,12.5,5.4,60.7,73.2
Jalen Smith,IND,36,1.5,17.9,1.34,2,0.7,1.2,54.5,70.5,9.4,7.5,9.4,0,54.7,80.7
Jeff Green,HOU,47,1,17.2,1.49,1.4,0.5,0.7,66.7,71.2,28.9,6.7,28.9,8.9,68.9,94.2
Andre Drummond,CHI,50,1.1,13.7,1.2,1.3,0.6,0.9,66.7,66.7,13,9.3,13,5.6,63,59.6
Drew Eubanks,PHX,43,1.3,24.2,1.17,1.5,0.6,1,59.1,59.1,16.7,5.6,14.8,3.7,59.3,54.7
Evan Mobley,CLE,24,2.8,18.7,0.94,2.6,1.1,2.1,52.9,52.9,10.4,14.9,10.4,1.5,49.3,24.6
Daniel Theis,LAC,36,1.5,24.8,1.13,1.7,0.7,1.2,58.1,60.5,14.5,7.3,12.7,0,56.4,49.7
Naz Reid,MIN,50,1,8.8,1.18,1.2,0.4,0.9,47.7,62.5,6,8,6,2,46,55.6
Mark Williams,CHA,20,2.4,23.6,1.19,2.8,1.2,1.9,62.2,62.2,14.9,8.5,14.9,2.1,61.7,57.9
Marvin Bagley III,DET,26,2,21.4,1.1,2.2,0.9,1.7,55.8,55.8,13.7,2,13.7,0,58.8,47.4
Bobby Portis,MIL,49,1.2,10.1,0.95,1.1,0.4,1,43.1,50,5.2,6.9,3.4,0,41.4,26.3
Buddy Hield,IND,50,0.9,7.7,1.23,1.1,0.4,0.9,46.5,59.3,2.3,0,2.3,0,47.7,63.7
Wendell Carter Jr.,ORL,24,2.1,20.4,1.04,2.2,0.9,1.7,53.7,58.5,6,12,6,0,50,36.5
Dorian Finney-Smith,BKN,42,1.2,12.8,1.04,1.2,0.5,1,43.2,56.8,2,8.2,2,0,40.8,37.4
Isaiah Jackson,IND,38,1.1,18.3,1.25,1.3,0.6,0.9,61.8,61.8,20,0,20,5,60,68.8
Kevin Love,MIA,39,1.2,14.1,1.09,1.3,0.4,1.1,38.6,51.1,6.5,0,4.3,2.2,41.3,46.2
Isaiah Hartenstein,NYK,47,1.1,16.2,1,1.1,0.4,0.8,52.6,52.6,18,12,16,6,52,30.4
Aaron Gordon,DEN,45,0.7,5.4,1.55,1.1,0.5,0.6,72.4,74.1,12.9,0,12.9,6.5,74.2,96.5
Goga Bitadze,ORL,41,0.9,15.4,1.3,1.2,0.5,0.7,71.4,71.4,18.9,8.1,18.9,2.7,67.6,76
Dwight Powell,DAL,42,0.8,21.2,1.47,1.1,0.4,0.5,81.8,81.8,25,12.5,25,6.3,75,91.8
