PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Joel Embiid,PHI,34,0.3,1.9,0.46,0.1,0,0.2,12.5,12.5,18.2,9.1,9.1,0,27.3,100
Jose Alvarado,NOP,27,0.4,6.9,0.46,0.2,0,0.3,14.3,14.3,18.2,18.2,18.2,0,27.3,100
Cameron Payne,MIL,42,0.2,4.5,0.6,0.1,0,0.2,14.3,14.3,20,10,10,0,30,95.8
Christian Wood,LAL,41,0.4,4.4,0.47,0.2,0,0.3,9.1,9.1,20,6.7,20,0,26.7,99.2
Xavier Tillman,MEM,31,0.5,4.9,0.53,0.3,0.1,0.4,25,25,13.3,6.7,13.3,0,33.3,98.5
Russell Westbrook,LAC,48,0.3,3.9,0.57,0.2,0,0.2,25,25,28.6,14.3,7.1,0,35.7,97.7
Rui Hachimura,LAL,36,0.3,4.5,0.73,0.2,0.1,0.3,40,40,0,9.1,0,0,36.4,88.7
Tyler Herro,MIA,29,0.6,4.9,0.53,0.3,0.1,0.5,28.6,28.6,5.9,11.8,5.9,0,29.4,98.9
Jonathan Isaac,ORL,31,0.5,9.2,0.56,0.3,0.1,0.4,33.3,33.3,12.5,18.8,12.5,6.3,25,98.1
Michael Porter Jr.,DEN,51,0.3,3.1,0.69,0.2,0,0.1,16.7,16.7,30.8,23.1,30.8,0,38.5,91.3
Malik Monk,SAC,46,0.3,3.9,0.69,0.2,0.1,0.2,30,30,15.4,7.7,15.4,0,38.5,91.3
Dwight Powell,DAL,37,0.4,4.2,0.69,0.2,0.1,0.2,33.3,33.3,23.1,7.7,15.4,0,46.2,91.3
Malaki Branham,SAS,41,0.3,4.4,0.69,0.2,0,0.1,20,20,30.8,30.8,30.8,0,38.5,91.3
Naji Marshall,NOP,39,0.3,4.2,0.75,0.2,0.1,0.3,40,40,8.3,8.3,8.3,0,41.7,86.3
Eric Gordon,PHX,41,0.3,3.5,0.82,0.2,0.1,0.2,44.4,44.4,9.1,18.2,9.1,9.1,36.4,80.7
Jevon Carter,CHI,43,0.2,4.6,0.9,0.2,0,0.1,40,40,40,10,40,0,50,68.3
Donte DiVincenzo,NYK,49,0.3,4,0.59,0.2,0.1,0.2,41.7,41.7,5.9,23.5,0,0,29.4,96.6
Kawhi Leonard,LAC,44,0.3,3.4,0.67,0.2,0.1,0.2,33.3,33.3,20,20,13.3,0,40,92.5
Dante Exum,DAL,31,0.4,5.5,0.83,0.3,0.2,0.4,41.7,41.7,0,0,0,0,41.7,77.9
Moses Moody,GSW,31,0.4,5.9,0.83,0.3,0.1,0.2,50,50,16.7,33.3,0,0,41.7,77.9
Kevin Knox II,DET,28,0.4,5.4,1,0.4,0.1,0.3,44.4,44.4,10,0,10,0,50,51.2
Dominick Barlow,SAS,19,0.5,6.3,1,0.5,0.2,0.4,57.1,57.1,20,30,20,20,40,51.2
Delon Wright,WAS,26,0.4,6.8,1,0.4,0.2,0.3,44.4,44.4,10,0,10,0,50,51.2
Ayo Dosunmu,CHI,47,0.4,4.4,0.65,0.2,0.1,0.3,41.7,41.7,11.8,17.6,5.9,0,35.3,92.9
Bogdan Bogdanovic,ATL,47,0.3,3.1,0.73,0.2,0.1,0.2,50,50,13.3,26.7,13.3,6.7,33.3,87.6
Jimmy Butler,MIA,35,0.4,4,0.79,0.3,0.1,0.3,40,40,14.3,14.3,14.3,0,42.9,84.1
