PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Nikola Jokic,DEN,49,6.1,26.4,1.17,7.1,2.9,4.7,61.1,61.1,15.2,11.1,11.8,3.4,58.2,79.3
Joel Embiid,PHI,34,6.1,19.5,1.17,7.1,2.5,4.3,57.5,57.5,20.9,11.2,18.4,2.9,58.7,81
Anthony Davis,LAL,46,4.3,19.5,1.1,4.7,1.8,3.2,56.1,56.1,18.3,11.2,16.2,4.6,55.8,68.1
Alperen Sengun,HOU,49,3.7,17.8,1.02,3.8,1.6,2.7,56.7,56.7,13.2,16.5,11,3.3,51.6,55.2
Bam Adebayo,MIA,40,4.5,21.9,0.94,4.3,1.6,3.6,44.4,44.4,16.6,6.1,14.9,1.1,49.7,36.2
Karl-Anthony Towns,MIN,49,3,14.8,1.11,3.3,1.3,2.3,58,58,16.9,14.2,16.2,6.8,54.1,71.6
Julius Randle,NYK,45,3.9,15.9,0.9,3.5,1.3,2.7,49.2,49.2,16.6,18.9,15.4,4,45.7,26.7
Jaren Jackson Jr.,MEM,47,3,13.6,1.11,3.3,1.2,2.2,56.3,56.3,20,12.1,17.1,5.7,55,70.7
Kristaps Porzingis,BOS,36,2.9,17.7,1.42,4.2,1.3,1.9,70.1,70.1,32.1,11.3,27.4,6.6,69.8,97.4
Giannis Antetokounmpo,MIL,47,3.1,11.1,1.01,3.1,1.4,2.3,61.3,61.3,12.5,17.4,11.8,3.5,52.1,54.3
Jonas Valanciunas,NOP,48,2.7,21.7,1.1,3,1.1,1.9,57,57,20,10.8,16.9,2.3,58.5,67
Jayson Tatum,BOS,46,2.6,10.7,1.14,3,1.1,2,54.8,54.8,23.1,5.8,22.3,5.8,57.9,77.6
Bobby Portis,MIL,49,2.8,24,0.98,2.8,1.2,2.5,48.4,48.4,8.7,5.1,7.2,2.2,49.3,44.8
Domantas Sabonis,SAC,47,2.5,13.7,0.97,2.4,1,1.7,59.8,59.8,12.7,21.2,11.9,3.4,49.2,44
Pascal Siakam,TOR,39,2.7,13.4,1.05,2.9,1.2,2.2,52.3,52.3,18.7,5.6,15,4.7,55.1,57.8
Jusuf Nurkic,PHX,46,2.5,19.9,0.96,2.4,0.9,1.8,51.2,51.2,19.1,9.6,15.7,1.7,53,40.5
DeMar DeRozan,CHI,48,2.1,9.9,1.11,2.3,0.9,1.7,51.2,51.2,17.2,5.1,16.2,3,55.6,73.7
Nikola Vucevic,CHI,45,2.7,15.5,0.89,2.4,1.2,2.4,48.6,48.6,3.3,11.4,3.3,1.6,43.9,25
Victor Wembanyama,SAS,44,2.8,12.8,0.88,2.4,0.8,1.7,45.9,45.9,19.7,21.3,18,1.6,45.1,21.6
Tobias Harris,PHI,44,2.2,13.5,1.1,2.4,0.9,1.7,55.4,55.4,15.6,8.3,14.6,1,56.3,69
