PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Trevelin Queen,ORL,9,1.3,19,0.33,0.4,0.1,1.1,10,10,8.3,8.3,8.3,0,16.7,99.7
Patty Mills,ATL,15,1.4,28.8,0.29,0.4,0.1,1.3,10.5,10.5,4.8,4.8,4.8,0,14.3,100
P.J. Tucker,PHI,3,3.3,32.3,0.6,2,0.7,2.7,25,37.5,20,0,20,0,20,99.2
Gabe Vincent,LAL,5,2,22.2,0.7,1.4,0.6,2,30,35,0,0,0,0,30,97.8
Jarace Walker,IND,12,0.9,19.6,0.73,0.7,0.2,0.7,25,37.5,9.1,18.2,0,0,27.3,96.1
Joe Harris,DET,11,1,24.4,0.82,0.8,0.4,0.9,40,45,0,9.1,0,0,36.4,90.5
Robert Covington,LAC,3,3.3,32.3,0.9,3,1,3.3,30,45,0,0,0,0,30,81.9
Robert Williams III,POR,6,2.8,26.6,0.65,1.8,0.5,2.7,18.8,28.1,5.9,0,5.9,0,23.5,98.9
Thaddeus Young,TOR,16,1.4,17.3,0.52,0.8,0.3,1.4,22.7,27.3,4.3,4.3,4.3,4.3,21.7,99.4
Otto Porter Jr.,TOR,12,1.5,31.6,0.67,1,0.3,1.3,25,34.4,5.6,5.6,5.6,0,27.8,98.1
Jordan Nwora,IND,12,1.3,27.6,0.75,1,0.3,1.2,28.6,39.3,6.3,6.3,6.3,0,31.3,95
Charles Bassey,SAS,15,0.9,14.4,1,0.9,0.2,0.7,27.3,40.9,21.4,0,14.3,0,42.9,62.2
Thomas Bryant,MIA,15,1,16.5,1.07,1.1,0.4,0.8,50,62.5,6.7,13.3,6.7,0,46.7,44.1
Skylar Mays,POR,19,1.4,27.1,0.65,0.9,0.3,1.3,20,28,3.8,0,3.8,0,23.1,98.3
DeAndre Jordan,DEN,22,0.9,14.6,0.85,0.8,0.3,0.9,30,42.5,5,0,5,5,30,87.2
Kris Murray,POR,19,1,25.7,0.9,0.9,0.3,0.8,40,56.7,0,21.1,0,0,31.6,83
Ben Simmons,BKN,7,3.9,29.3,0.7,2.7,1.1,3.4,33.3,39.6,0,11.1,0,0,29.6,97.2
Armoni Brooks,BKN,8,2.5,57.1,0.95,2.4,0.9,2.5,35,47.5,0,0,0,0,35,71.7
Richaun Holmes,DAL,15,1.1,13.5,1.18,1.3,0.5,1.1,43.8,62.5,0,5.9,0,0,41.2,20.2
Jamal Cain,MIA,12,2.5,39.5,0.7,1.8,0.7,2.3,28.6,35.7,3.3,6.7,3.3,3.3,26.7,97.8
Bones Hyland,LAC,15,1.6,27.3,0.88,1.4,0.5,1.5,30.4,43.5,4.2,0,0,0,33.3,84.7
Trent Forrest,ATL,16,1.3,26.9,1,1.3,0.5,1.2,42.1,55.3,0,9.5,0,0,38.1,62.2
Jake LaRavia,MEM,9,2.1,37.3,1.1,2.3,0.8,1.7,46.7,70,0,21.1,0,0,36.8,34.5
Mike Muscala,WAS,21,1.3,17.6,0.81,1,0.4,1.2,32,38,7.4,3.7,7.4,3.7,33.3,90.8
Dru Smith,MIA,9,1.7,40.5,1.47,2.4,0.8,1.3,58.3,83.3,6.7,13.3,6.7,0,53.3,0.6
Marvin Bagley III,DET,26,1.2,12.1,0.72,0.9,0.3,1.2,30,38.3,0,6.3,0,0,28.1,96.7
Cory Joseph,GSW,17,1.9,33.3,0.75,1.4,0.5,1.6,32.1,41.1,3.1,9.4,3.1,0,31.3,95
Jeremiah Robinson-Earl,NOP,14,2,33.7,0.93,1.9,0.6,1.8,36,50,3.6,7.1,3.6,0,35.7,78.3
Dominick Barlow,SAS,19,1.3,15.2,1.13,1.4,0.5,1.1,47.6,61.9,4.2,8.3,4.2,0,45.8,29.6
Orlando Robinson,MIA,13,1.8,23.1,1.21,2.2,0.8,1.6,47.6,59.5,12.5,8.3,12.5,8.3,45.8,15.1
Neemias Queta,BOS,19,1.7,20,0.91,1.6,0.5,1.5,34.5,51.7,0,12.1,0,0,30.3,80.8
Ben Sheppard,IND,22,1.3,23.7,1.07,1.4,0.5,1,50,59.1,14.3,14.3,10.7,7.1,42.9,42.7
Matt Ryan,NOP,14,3,40,0.74,2.2,0.8,2.6,29.7,39.2,2.4,9.5,2.4,0,28.6,95.3
Larry Nance Jr.,NOP,27,1.6,22.8,0.73,1.2,0.4,1.6,28.6,36.9,2.3,4.5,2.3,2.3,27.3,96.1
Precious Achiuwa,TOR,23,1.8,19.4,0.76,1.4,0.6,1.7,33.3,41,0,7.1,0,0,31,93.9
Markelle Fultz,ORL,16,2.6,30.9,0.76,2,0.8,2.6,29.3,37.8,2.4,2.4,2.4,2.4,28.6,93.9
Wesley Matthews,ATL,18,1.4,28,1.23,1.8,0.7,1.3,52.2,67.4,7.7,7.7,7.7,3.8,50,11.5
