PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Coby White,CHI,50,6.6,35.8,1.18,7.7,2.6,5.8,45.3,60.7,6.1,6.7,5.5,0.6,45.3,75.8
Michael Porter Jr.,DEN,51,5,34.7,1.24,6.2,2.2,4.8,46.9,63.4,2.4,3.5,2,1.2,45.9,87.6
Jerami Grant,POR,43,5.7,28.6,1.23,7.1,2.3,5.1,44.8,60.6,7.7,4.5,7.7,1.6,46.2,85.5
Donte DiVincenzo,NYK,49,4.8,42.1,1.23,6,2,4.6,44.2,64.2,0.8,3.8,0.4,0,43,86.7
Tim Hardaway Jr.,DAL,46,5.2,30.4,1.2,6.2,2.1,4.9,42.7,58.8,4.6,1.3,4.2,1.7,43.9,81.7
Eric Gordon,PHX,41,5.6,46.6,1.24,6.9,2.4,5.3,45.4,63.5,1.7,3.1,1.7,0,45,88.2
Norman Powell,LAC,48,4.3,37.2,1.38,5.9,2,3.7,52.8,70.5,8.3,5.4,7.8,1,52.9,97.3
Naz Reid,MIN,50,4.8,41.7,1.1,5.3,1.9,4.3,44.9,60.7,1.3,8.8,1.3,0,41.2,64.3
Grayson Allen,PHX,43,5.1,48,1.18,6,2,4.6,43.7,61.6,3.7,5.9,2.7,0.5,42.9,77.6
Malik Beasley,MIL,47,4,42.7,1.37,5.5,1.9,3.9,50,70.1,0.5,2.1,0,0,49.2,97.1
Jaren Jackson Jr.,MEM,47,5.6,25.4,0.98,5.5,1.9,4.9,39,46.8,11.1,5,10.7,4.2,41.2,36.6
Bogdan Bogdanovic,ATL,47,4.9,30.6,1.1,5.4,1.9,4.7,40,54.5,4.3,2.2,4.3,1.7,40.7,62.2
Paul George,LAC,45,4.5,21.8,1.23,5.6,1.9,4.2,45.2,63.8,3.9,4.9,3.4,1,44.6,85.3
Mikal Bridges,BKN,48,5.1,24.1,1.02,5.2,1.7,4.6,37.9,51.8,6.6,4.5,6.6,0.8,38.9,46.9
Derrick Jones Jr.,DAL,44,4.9,52.4,1.12,5.5,1.9,4.2,44.9,59.5,8.4,8.8,8.4,3.3,43.7,67.3
Gary Trent Jr.,TOR,44,4.4,38.4,1.23,5.4,1.9,4.2,46.2,62.8,2.6,2.6,2.6,0.5,46.1,84.7
Karl-Anthony Towns,MIN,49,5,24.7,0.96,4.8,1.7,4.2,41.2,51.5,6.9,12.1,6.9,1.6,39.3,32.2
Kyle Kuzma,WAS,48,4.9,21.9,0.99,4.9,1.8,4.4,40.5,53.3,3.4,8.4,3,0.4,38.4,38.3
Dejounte Murray,ATL,48,4.2,19.8,1.15,4.9,1.7,3.9,44.1,58,4.5,4,3.5,1.5,44.1,72.6
Scottie Barnes,TOR,49,4.3,21.2,1.1,4.7,1.6,3.9,40.8,56.5,4.8,3.8,4.3,0,42.1,64.8
Harrison Barnes,SAC,47,4.5,43.2,1.08,4.9,1.7,4.3,39,54,4.3,2.4,3.8,1.4,39.8,58.1
Derrick White,BOS,45,4,27.7,1.27,5,1.6,3.7,44.6,63,6.2,2.2,6.2,1.7,46.1,91.7
Aaron Nesmith,IND,45,4.1,39,1.23,5,1.6,3.5,46.5,62.9,8.2,6,6.6,1.1,47.5,85
Jalen Brunson,NYK,47,3.2,13,1.46,4.7,1.6,3,55.4,72.3,7.9,3.3,7.9,3.3,55.6,98.5
Buddy Hield,IND,50,4.3,38.2,1.01,4.4,1.6,3.9,40.2,55.2,1.8,9.2,1.8,0.5,37.3,41.3
Luguentz Dort,OKC,48,4.2,41.6,1.08,4.5,1.5,3.7,41.3,57.3,4.5,7,4.5,1,40.5,59.9
Keldon Johnson,SAS,46,4.5,27,1.04,4.7,1.5,4,37.7,51.4,8.3,3.9,8.3,1,40.3,50.7
Jaden McDaniels,MIN,40,5.2,50.7,1.03,5.4,2,4.6,43.8,55.4,4.3,8.7,2.9,1.9,41.3,48.7
Kevin Durant,PHX,42,4.1,16.7,1.23,5.1,1.8,3.7,48.1,63.6,5.8,5.8,4.6,0.6,48,85.8
Keegan Murray,SAC,43,4.6,31.7,1.09,5,1.8,4.2,41.8,54.9,4.6,2.6,4.6,0,43.4,60.2
Nickeil Alexander-Walker,MIN,50,3.6,50.3,1.18,4.2,1.5,3.4,45.8,62.2,1.1,5.6,1.1,0.6,43.6,78.2
Cameron Johnson,BKN,39,4.7,36.3,1.15,5.4,1.9,4.4,42.2,60.1,1.6,4.9,1.1,0.5,40.8,72
Georges Niang,CLE,47,4.6,51.7,0.97,4.4,1.6,4.3,36.5,48.5,3.7,4.2,3.7,0.5,37,33.6
Julius Randle,NYK,45,5,20.3,0.93,4.6,1.6,4.3,36.9,46.2,8.9,6.3,8.5,2.2,38.8,27.4
Miles Bridges,CHA,37,6,29,0.94,5.6,2.1,5.4,38.4,48,5,6.3,4.5,0.9,38.5,28.9
Dennis Schroder,TOR,49,3.7,26.4,1.13,4.2,1.4,3.4,41.8,56.7,5.5,3.9,5,0.6,43.1,69.6
John Collins,UTA,47,4.3,33.1,1,4.4,1.5,3.9,38.9,50.3,7.4,3.4,6.9,1.5,40.7,40.1
Kawhi Leonard,LAC,45,3.6,18.2,1.25,4.5,1.6,3.2,50,65.1,6.1,5.5,4.3,1.2,49.7,90.3
Saddiq Bey,ATL,48,4.6,36.3,0.92,4.3,1.4,4.2,32.5,45,7.2,4.9,7.2,1.8,34.5,24.5
Taurean Prince,LAL,47,4.3,45.9,1,4.3,1.5,4,37.6,51.3,3,3.5,3,0.5,37.8,40.4
Cam Thomas,BKN,39,4.5,21.4,1.14,5.2,1.9,4,47.1,57.3,8.5,4.5,8,2.3,47.7,70.8
Max Strus,CLE,47,3.9,29.2,1.09,4.2,1.4,3.7,39.1,55.5,2.2,2.7,2.2,0.5,39,61.7
Malcolm Brogdon,POR,39,3.5,22.7,1.44,5.1,1.8,3.3,54.7,73.4,5.1,3.6,5.1,1.4,53.6,98.2
Brandon Miller,CHA,42,4.5,27.8,1.05,4.7,1.7,4.2,40.7,54.5,2.1,4.8,2.1,0.5,39.7,52.2
Ayo Dosunmu,CHI,48,3.9,42.6,1.05,4.1,1.5,3.6,43,55.2,2.2,5.4,2.2,0,41.9,53.4
Payton Pritchard,BOS,49,3.2,42.4,1.23,4,1.4,3.1,45.3,63,2.5,3.2,2.5,0.6,44.9,87.3
Paolo Banchero,ORL,50,3.1,12.8,1.24,3.9,1.3,2.6,48.9,63.7,12.8,5.8,11.5,2.6,50.6,88.8
Sam Hauser,BOS,48,3.4,48.6,1.21,4,1.4,3.3,42,61.5,0.6,1.9,0.6,0,41.6,82
Dorian Finney-Smith,BKN,42,4.2,46,1.1,4.6,1.6,3.9,40.6,56.4,2.8,3.4,2.8,0,40.9,63.1
