PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Shai Gilgeous-Alexander,OKC,49,6.1,23.4,1.28,7.8,2.8,4.8,58.8,62.2,19.2,6.1,14.5,3.7,61.6,81.4
Giannis Antetokounmpo,MIL,47,6.1,22.2,1.23,7.5,2.6,3.9,68,68.8,32.8,12.5,28.6,8.4,64.5,70.1
Jaylen Brown,BOS,45,6.2,28.6,1.17,7.2,2.6,4.8,54.8,62.2,15.2,9.7,14.8,3.2,54.5,57.7
LeBron James,LAL,44,5.6,24.1,1.25,7.1,2.6,3.9,65.3,71.4,20.6,15.3,19.4,5.6,59.7,74.5
De'Aaron Fox,SAC,41,6,23,1.22,7.2,2.7,4.8,55.1,63.9,16.4,7,16,4.5,55.3,68.1
Kyle Kuzma,WAS,48,4.6,20.4,1.27,5.9,2.3,3.7,63.3,69.2,11.3,12.2,10.9,3.6,57.9,78.8
Donovan Mitchell,CLE,38,5.6,20.9,1.33,7.4,2.6,4.1,62.8,70.2,18.5,12.3,16.6,4.7,59.7,86.4
Devin Booker,PHX,40,4.9,19.5,1.33,6.5,2.3,3.9,60.4,67.5,16,8.2,14.9,3.6,60.3,87.2
Anthony Edwards,MIN,47,4.4,17.6,1.2,5.3,1.9,3.4,56,64.2,16.3,13,14.9,5.8,52.4,64.7
Tyrese Maxey,PHI,44,4.4,18.4,1.27,5.5,2,3.6,53.8,59.1,18.2,3.6,17.7,5.2,57.8,77.4
Collin Sexton,UTA,51,4,24.7,1.13,4.5,1.6,3,54.3,58.9,16.2,13.2,14.7,3.4,52.9,50.1
Jayson Tatum,BOS,46,3.7,14.9,1.36,5,1.7,2.8,61.7,69.1,20.7,6.5,18.9,3,64.5,88.7
Paolo Banchero,ORL,50,3.9,15.9,1.18,4.6,1.6,2.8,58,62.7,21.1,11.3,19.6,3.6,57.2,58.6
Pascal Siakam,TOR,39,4.5,22.1,1.26,5.7,2,3,67.2,69.4,27.3,15.3,25,8.5,61.9,76.8
Julius Randle,NYK,45,4,16.4,1.2,4.8,1.9,2.9,63.6,68.2,16,14.4,15.5,3.3,58.6,63.8
Kevin Durant,PHX,42,3.5,14.3,1.45,5.1,1.8,2.5,72.4,80.5,22.3,13.5,20.9,6.8,66.9,93.3
Desmond Bane,MEM,37,4.5,19.6,1.29,5.8,2.1,3.6,58.5,68.9,11.4,9,9.6,1.8,56.6,82.3
Scottie Barnes,TOR,49,4.1,20.1,1.05,4.3,1.6,2.9,53.8,59.4,17.1,18.1,14.6,7,48.7,33.3
Bogdan Bogdanovic,ATL,47,3.3,20.8,1.25,4.2,1.5,3,49.7,63.3,5.7,4.5,5.7,1.3,49.7,74.8
Luka Doncic,DAL,41,4.2,13,1.14,4.8,1.6,3.1,52,62.2,15.2,15.2,13.5,4.7,49.1,51.9
Trae Young,ATL,44,4,14.6,1.1,4.4,1.5,2.9,52.4,59.5,16.5,16.5,13.6,4.5,49.4,42
